NodePubkey,Commission,ActivatedStake
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,13085308346876943
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,5,12901778137033086
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,8,10135800028445692
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,7,9505830404338453
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,7,9368289146687283
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,7,7539023227460215
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,7,6102164733714165
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,8,5622477220830776
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,100,5574273595919204
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,8,5546346836084692
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,100,5408969121591453
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,5,5405245265933192
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,100,5096090535608238
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,10,5086060573747224
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,100,5068123287414062
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,8,4996835786050646
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,4,4941312044549809
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,4,4419396357017412
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,100,4071603529679360
JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,0,3842473679808960
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,5,3838613867752444
46nbPAKDbvAFEDQxP16QR7dQHTMVGhnrN6gPs3FrSJzc,8,3687631028746080
VymDdiepH77edNcNcKBKtRUb3gbQPtPyGh5NLcWaynj,0,3646457123466852
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,100,3598006052660020
EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp,8,3503805359793864
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,0,3500874749326208
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,100,3375000480322560
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,2,3321029998429186
EgxVyTgh2Msg781wt9EsqYx4fW8wSvfFAHGLaJQjghiL,5,3168850291304582
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,0,3167119788444596
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,8,3026138809481037
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,100,2916667655378480
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,100,2916487475169760
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,5,2796878213133460
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,3,2781386294972216
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,6,2668945515580842
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,8,2648605501823000
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,100,2502415687586068
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,100,2502415680489477
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,100,2502395552696824
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,100,2502391137720913
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,100,2502383454498740
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,100,2500000937382560
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,100,2500000937382560
DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,100,2499999992171680
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,100,2499999939665440
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,100,2499999939665440
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,100,2409417937382560
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,100,2322628994123620
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,2,2313219548151327
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,100,2182665921629860
G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH,0,2134037340235930
GGX3BEoZDqjxcw4AbCdu62ZTMrkpSgmPt81oP2mVuZNS,7,2126601536917084
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,100,2083334280438320
3hkPdLyQReJwdWe7Y8JL7jRhYaBCC8GZcmWwjpiLXC9f,2,2071597947240398
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,100,1875000953466200
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,100,1835664800728540
LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc,5,1634967609135582
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,10,1571519502835022
